,Source,Target,Weight,Type
1,Ballantyne_Away in the Wilderness_1863,Ballantyne_Chasing the Sun_1864,1,undirected
2,Ballantyne_Away in the Wilderness_1863,Ballantyne_Deep Down_1868,3,undirected
3,Ballantyne_Away in the Wilderness_1863,Ballantyne_Fast in the Ice_1863,3,undirected
4,Ballantyne_Away in the Wilderness_1863,Ballantyne_Fighting the Whales_1863,1,undirected
5,Ballantyne_Away in the Wilderness_1863,Ballantyne_The Butterfly's Ball_1874,2,undirected
6,Ballantyne_Away in the Wilderness_1863,Ballantyne_The Lighthouse_1865,2,undirected
7,Ballantyne_Away in the Wilderness_1863,Ballantyne_The World of Ice_1859,1,undirected
8,Ballantyne_Black Ivory_1873,Ballantyne_Deep Down_1868,5,undirected
9,Ballantyne_Black Ivory_1873,Ballantyne_Digging for Gold_1869,2,undirected
10,Ballantyne_Black Ivory_1873,Ballantyne_Hunted and Harried_1892,3,undirected
11,Ballantyne_Black Ivory_1873,Ballantyne_In the Track of the Troops_1878,2,undirected
12,Ballantyne_Black Ivory_1873,Ballantyne_Sunk at Sea_1869,3,undirected
13,Ballantyne_Black Ivory_1873,Ballantyne_The Fugitives_1887,1,undirected
14,Ballantyne_Black Ivory_1873,Ballantyne_The Iron Horse_1879,1,undirected
15,Ballantyne_Black Ivory_1873,Ballantyne_The Norsemen in the West_1872,2,undirected
16,Ballantyne_Black Ivory_1873,Ballantyne_The Pioneers_1872,1,undirected
17,Ballantyne_Black Ivory_1873,Ballantyne_The Pirate City_1874,6,undirected
18,Ballantyne_Black Ivory_1873,Ballantyne_The Settler and the Savage_1877,1,undirected
19,Ballantyne_Black Ivory_1873,Ballantyne_Under the Waves_1876,2,undirected
20,Ballantyne_Blown to Bits_1889,Ballantyne_Chasing the Sun_1864,2,undirected
21,Ballantyne_Blown to Bits_1889,Ballantyne_Gascoyne_1864,2,undirected
22,Ballantyne_Blown to Bits_1889,Ballantyne_Over the Rocky Mountains_1869,2,undirected
23,Ballantyne_Blown to Bits_1889,Ballantyne_Rivers of Ice_1875,4,undirected
24,Ballantyne_Blown to Bits_1889,Ballantyne_The Battery and the Boiler_1883,6,undirected
25,Ballantyne_Blown to Bits_1889,Ballantyne_The Big Otter_1887,2,undirected
26,Ballantyne_Blown to Bits_1889,Ballantyne_The Crew of the Water Wagtail_1889,2,undirected
27,Ballantyne_Blown to Bits_1889,Ballantyne_The Giant of the North_1882,1,undirected
28,Ballantyne_Blown to Bits_1889,Ballantyne_The Gorilla Hunters_1861,1,undirected
29,Ballantyne_Blown to Bits_1889,Ballantyne_The Rover of the Andes_1885,4,undirected
30,Ballantyne_Blown to Bits_1889,Ballantyne_Wrecked But Not Ruined_1895,3,undirected
31,Ballantyne_Blue Lights_1888,Ballantyne_Charlie to the Rescue_1890,3,undirected
32,Ballantyne_Blue Lights_1888,Ballantyne_Digging for Gold_1869,3,undirected
33,Ballantyne_Blue Lights_1888,Ballantyne_Hunted and Harried_1892,1,undirected
34,Ballantyne_Blue Lights_1888,Ballantyne_The Buffalo Runners_1891,3,undirected
35,Ballantyne_Blue Lights_1888,Ballantyne_The Eagle Cliff_1889,4,undirected
36,Ballantyne_Charlie to the Rescue_1890,Ballantyne_Blue Lights_1888,3,undirected
37,Ballantyne_Charlie to the Rescue_1890,Ballantyne_Jeff Benson_1890,2,undirected
38,Ballantyne_Charlie to the Rescue_1890,Ballantyne_The Eagle Cliff_1889,3,undirected
39,Ballantyne_Charlie to the Rescue_1890,Ballantyne_The Hot Swamp_1892,2,undirected
40,Ballantyne_Charlie to the Rescue_1890,Ballantyne_The Middy and the Moors_1888,2,undirected
41,Ballantyne_Charlie to the Rescue_1890,Ballantyne_The Young Trawler_1884,3,undirected
42,Ballantyne_Charlie to the Rescue_1890,Ballantyne_Twice Bought_1885,3,undirected
43,Ballantyne_Chasing the Sun_1864,Ballantyne_Away in the Wilderness_1863,1,undirected
44,Ballantyne_Chasing the Sun_1864,Ballantyne_Blown to Bits_1889,2,undirected
45,Ballantyne_Chasing the Sun_1864,Ballantyne_The Iron Horse_1879,3,undirected
46,Ballantyne_Deep Down_1868,Ballantyne_Away in the Wilderness_1863,3,undirected
47,Ballantyne_Deep Down_1868,Ballantyne_Black Ivory_1873,5,undirected
48,Ballantyne_Deep Down_1868,Ballantyne_Fort Desolation_1873,1,undirected
49,Ballantyne_Deep Down_1868,Ballantyne_Hunting the Lions_1869,3,undirected
50,Ballantyne_Deep Down_1868,Ballantyne_The Iron Horse_1879,1,undirected
51,Ballantyne_Deep Down_1868,Ballantyne_The Lifeboat_1864,4,undirected
52,Ballantyne_Deep Down_1868,Ballantyne_The Young Fur-Traders_1856,2,undirected
53,Ballantyne_Digging for Gold_1869,Ballantyne_Black Ivory_1873,2,undirected
54,Ballantyne_Digging for Gold_1869,Ballantyne_Blue Lights_1888,3,undirected
55,Ballantyne_Digging for Gold_1869,Ballantyne_Under the Waves_1876,1,undirected
56,Ballantyne_Dusty Diamonds Cut and Polished_1884,Ballantyne_My Doggie and I_1881,3,undirected
57,Ballantyne_Dusty Diamonds Cut and Polished_1884,Ballantyne_Post Haste_1880,1,undirected
58,Ballantyne_Dusty Diamonds Cut and Polished_1884,Ballantyne_The Eagle Cliff_1889,2,undirected
59,Ballantyne_Dusty Diamonds Cut and Polished_1884,Ballantyne_The Young Trawler_1884,6,undirected
60,Ballantyne_Erling the Bold_ 1869,Ballantyne_The Giant of the North_1882,1,undirected
61,Ballantyne_Erling the Bold_ 1869,Ballantyne_The Norsemen in the West_1872,2,undirected
62,Ballantyne_Erling the Bold_ 1869,Ballantyne_The Walrus Hunters_1893,3,undirected
63,Ballantyne_Fast in the Ice_1863,Ballantyne_Away in the Wilderness_1863,3,undirected
64,Ballantyne_Fast in the Ice_1863,Ballantyne_Fighting the Whales_1863,3,undirected
65,Ballantyne_Fast in the Ice_1863,Ballantyne_The Lighthouse_1865,1,undirected
66,Ballantyne_Fast in the Ice_1863,Ballantyne_The World of Ice_1859,2,undirected
